省庁名,部局名,会計名,分類種類名,口座名,所在地,口座別合計価格　（円）,土地合計数量　（u）,土地合計価格　（円）,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）,政府出資等価格　（円）,不動産の信託の受益権価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),独立行政法人新エネルギー・産業技術総合開発機構,東京都千代田区霞ヶ関３−２−１外,12856846479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12856846479,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),独立行政法人科学技術振興機構,東京都千代田区霞ヶ関３−２−１外,15242882481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15242882481,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),独立行政法人鉄道建設・運輸施設整備支援機構,東京都千代田区霞ヶ関３−２−１外,490571915106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490571915106,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),独立行政法人情報処理推進機構,東京都千代田区霞ヶ関３−２−１外,1904143234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904143234,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),独立行政法人石油天然ガス・金属鉱物資源機構,東京都千代田区霞ヶ関３−２−１外,168235791914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168235791914,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),独立行政法人情報通信研究機構,東京都千代田区霞ヶ関３−２−１外,2431988029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2431988029,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),独立行政法人中小企業基盤整備機構,東京都千代田区霞ヶ関３−２−１外,39633527757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39633527757,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),独立行政法人都市再生機構,東京都千代田区霞ヶ関３−２−１外,68711472150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68711472150,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),独立行政法人奄美群島振興開発基金,東京都千代田区霞ヶ関３−２−１外,5666767406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5666767406,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),独立行政法人医薬基盤研究所,東京都千代田区霞ヶ関３−２−１外,3524744485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3524744485,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),独立行政法人住宅金融支援機構,東京都千代田区霞ヶ関３−２−１外,122771489425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122771489425,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),株式会社民間資金等活用事業推進機構,東京都千代田区霞ヶ関３−２−１外,9472571737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9472571737,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),株式会社海外需要開拓支援機構,東京都千代田区霞ヶ関３−２−１外,38271957844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38271957844,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),株式会社海外交通・都市開発事業支援機構,東京都千代田区霞ヶ関３−２−１外,13991548660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13991548660,0,-,-,-,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計（投資勘定）,普通財産(各省各庁所管),株式会社海外通信・放送・郵便事業支援機構,東京都千代田区霞ヶ関３−２−１外,1780709007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780709007,0,-,-,-,-
財務省,財務省理財局（国債企画課）,国債整理基金特別会計,普通財産(各省各庁所管),東京地下鉄株式会社,東京都千代田区霞が関３−２−１外,271739864765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271739864765,0,-,-,-,-
財務省,財務省理財局（国債企画課）,国債整理基金特別会計,普通財産(各省各庁所管),日本郵政株式会社,東京都千代田区霞が関３−２−１外,3007151646600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3007151646600,0,-,-,-,-
財務省,国際局,外国為替資金特別会計,普通財産(各省各庁所管),国際通貨基金,東京都千代田区霞が関３−２−１外,5243079616037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5243079616037,0,-,-,-,-
文部科学省,文部科学本省,一般会計,普通財産(各省各庁所管),文部科学本省,東京都千代田区霞が関３—２—２,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,-,-,-,-
文部科学省,文部科学本省,一般会計,普通財産(各省各庁所管),国際連合大学本部施設,東京都渋谷区神宮前５−５３−１,2853882908,0,0,2857.70,22377.89,2809451706,3465819,40965383,0,0,0,0,0,0,0,0,0,0,-,-,-,-
文部科学省,文部科学本省,一般会計,普通財産(各省各庁所管),簾舞農場,北海道札幌市南区簾舞５６７−１　外,9022259,245001.86,8491016,0,0,0,531243,0,0,0,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,-,-
文部科学省,文部科学本省,一般会計,普通財産(各省各庁所管),登別分院,北海道登別市登別温泉町１９１−２,145919,25.69,145919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,市街化区域,商業地域,80,600
文部科学省,文部科学本省,一般会計,普通財産(各省各庁所管),旧教養学部,東京都目黒区駒場３−８６５−１８　外,121682310,611.13,121268327,0,0,0,0,413983,0,0,0,0,0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
文部科学省,文部科学本省,一般会計,普通財産(各省各庁所管),小金井校（普通財産）,東京都小金井市貫井北町４−１−１,1,588.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
文部科学省,文部科学本省,一般会計,普通財産(各省各庁所管),旧地震研究所松山地殻変動観測所,愛媛県松山市北吉田町１０−２３　外,14433086,527.36,14433083,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,市街化区域,近隣商業地域,80,200
文部科学省,文部科学本省,一般会計,普通財産(各省各庁所管),海洋生物教育研究センター西又実験所,高知県香美市土佐山田町西又字８−９２５−２,613308,391.64,613308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,-,-
文部科学省,文化庁,一般会計,普通財産(各省各庁所管),白リス生息地,山梨県北杜市外,210011,5880.99,210011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,都市計画区域外,都市計画用途地域指定なし,50,100
文部科学省,文部科学本省,東日本大震災復興特別会計,普通財産(各省各庁所管),文部科学本省,東京都千代田区霞が関３−２−２,6069091573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6069091573,0,-,-,-,-
文部科学省,文部科学省研究開発局,エネルギー対策特別会計（電源開発促進勘定）,普通財産(各省各庁所管),エネルギー対策特別会計（電源開発促進勘定）,東京都千代田区霞が関３−２−２,259672538413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259672538413,0,-,-,-,-
厚生労働省,厚生労働省大臣官房会計課,一般会計,普通財産(各省各庁所管),独立行政法人勤労者退職金共済機構旧松戸職員宿舎,千葉県松戸市胡録台字小野１５５−２,2,0,0,104.85,419.4,1,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-
厚生労働省,厚生労働省大臣官房会計課,一般会計,普通財産(各省各庁所管),独立行政法人勤労者退職金共済機構旧越谷職員宿舎,埼玉県越谷市越ヶ谷字花田２２３６,187041246,2140.06,187041244,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
厚生労働省,厚生労働省大臣官房会計課,一般会計,普通財産(各省各庁所管),国際安全衛生センター,東京都清瀬市梅園１−４−６,206410793,0,0,1009.32,2504.21,180273873,1257483,24879437,0,0,0,0,0,0,0,0,0,0,-,-,-,-
厚生労働省,岩手労働局,一般会計,普通財産(各省各庁所管),釜石公共職業安定所課長宿舎,岩手県釜石市甲子町第１５地割１４番２,5257,0,0,99.16,99.16,2,0,5255,0,0,0,0,0,0,0,0,0,0,-,-,-,-
厚生労働省,岩手労働局,一般会計,普通財産(各省各庁所管),釜石公共職業安定所課長宿舎,岩手県釜石市甲子町第１５地割１４番２,81853,0,0,50.05,50.05,1,0,81852,0,0,0,0,0,0,0,0,0,0,-,-,-,-
厚生労働省,岩手労働局,一般会計,普通財産(各省各庁所管),二戸公共職業安定所公務員宿舎,岩手県二戸市石切所字上野々９１−３、９１−８、９１−１２,4,0,0,46.75,46.75,1,0,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-
厚生労働省,群馬労働局,一般会計,普通財産(各省各庁所管),群馬労働総合庁舎,群馬県前橋市大手町１丁目１−３,41568,0,0,0,0,0,0,41568,0,0,0,0,0,0,0,0,0,0,-,-,-,-
厚生労働省,新潟労働局,一般会計,普通財産(各省各庁所管),新発田労働基準監督署二課長宿舎,新潟県新発田市富塚町２丁目９８７−５,1,0,0,4.86,4.86,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
厚生労働省,富山労働局,一般会計,普通財産(各省各庁所管),旧高岡労働基準監督署,富山県高岡市江尻字村中１１９３,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-
厚生労働省,長崎労働局,一般会計,普通財産(各省各庁所管),古城宿舎,長崎県壱岐市郷ノ浦町田中触字古城１０６４−４,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-
厚生労働省,厚生労働省大臣官房会計課,東日本大震災復興特別会計,普通財産(各省各庁所管),厚生労働省（政府出資等）,東京都千代田区霞が関１−２−２,2251180042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2251180042,0,-,-,-,-
厚生労働省,年金局,年金特別会計（国民年金勘定）,普通財産(各省各庁所管),出資による権利（独立行政法人　福祉医療機構・国民年金勘定）,東京都千代田区霞が関１−２−２,47381885917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47381885917,0,-,-,-,-
厚生労働省,年金局,年金特別会計（国民年金勘定）,普通財産(各省各庁所管),出資による権利（日本年金機構・国民年金勘定）,東京都千代田区霞が関１−２−２,18480720046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18480720046,0,-,-,-,-
厚生労働省,年金局,年金特別会計（厚生年金勘定）,普通財産(各省各庁所管),社会保険大学校,千葉県白井市桜台１−１１４１−３１,1350203,0,0,0,0,1295039,0,55164,0,0,0,0,0,0,0,0,0,0,-,-,-,-
厚生労働省,年金局,年金特別会計（厚生年金勘定）,普通財産(各省各庁所管),旧みえ社会保険センター,三重県津市広明町７０−３,84397659,1426.60,84397656,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,40,80
厚生労働省,年金局,年金特別会計（厚生年金勘定）,普通財産(各省各庁所管),出資による権利（独立行政法人　地域医療機能推進機構・厚生年金勘定）,東京都千代田区霞が関１−２−２,149636032959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149636032959,0,-,-,-,-
厚生労働省,年金局,年金特別会計（厚生年金勘定）,普通財産(各省各庁所管),出資による権利（独立行政法人　福祉医療機構・厚生年金勘定）,東京都千代田区霞が関１−２−２,856359649427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856359649427,0,-,-,-,-
厚生労働省,年金局,年金特別会計（厚生年金勘定）,普通財産(各省各庁所管),出資による権利（日本年金機構・厚生年金勘定）,東京都千代田区霞が関１−２−２,46789250246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46789250246,0,-,-,-,-
厚生労働省,年金局,年金特別会計（健康勘定）,普通財産(各省各庁所管),社会保険大学校,千葉県白井市桜台１−１１４１−３１,1350204,0,0,0,0,1295039,0,55165,0,0,0,0,0,0,0,0,0,0,-,-,-,-
厚生労働省,年金局,年金特別会計（健康勘定）,普通財産(各省各庁所管),出資による権利（独立行政法人　地域医療機能推進機構・健康勘定）,東京都千代田区霞が関１−２−２,278743960265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278743960265,0,-,-,-,-
厚生労働省,年金局,年金特別会計（健康勘定）,普通財産(各省各庁所管),出資による権利（全国健康保険協会・船員保険勘定）,東京都千代田区霞が関１−２−２,41827639333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41827639333,0,-,-,-,-
厚生労働省,年金局,年金特別会計（健康勘定）,普通財産(各省各庁所管),出資による権利（全国健康保険協会・健康勘定）,東京都千代田区霞が関１−２−２,1273745296618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273745296618,0,-,-,-,-
厚生労働省,年金局,年金特別会計（健康勘定）,普通財産(各省各庁所管),出資による権利（日本年金機構・健康勘定）,東京都千代田区霞が関１−２−２,9496715316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9496715316,0,-,-,-,-
厚生労働省,年金局,年金特別会計（業務勘定）,普通財産(各省各庁所管),社会保険大学校,千葉県白井市桜台１−１１４１−３１,3033675762,30000.01,1800000600,6437.37,17788.77,1159827130,29531394,44316638,0,0,0,0,0,0,0,0,0,0,市街化区域,近隣商業地域,80,200
厚生労働省,年金局,年金特別会計（業務勘定）,普通財産(各省各庁所管),北海道船員保険健康福祉センター,北海道小樽市朝里川温泉１,274025058,81531.42,43267605,1971.27,4082.77,223820144,742088,6195221,0,0,0,0,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
厚生労働省,年金局,年金特別会計（業務勘定）,普通財産(各省各庁所管),長野船員保険健康福祉センター,長野県諏訪郡富士見町立沢広原１−１１８２,541445509,84903.51,264304626,3008.09,4952.24,232124576,0,45016307,0,0,0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,400
厚生労働省,年金局,年金特別会計（業務勘定）,普通財産(各省各庁所管),出資による権利（独立行政法人　地域医療機能推進機構・業務勘定）,東京都千代田区霞が関１−２−２,18603645297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18603645297,0,-,-,-,-
厚生労働省,年金局,年金特別会計（業務勘定）,普通財産(各省各庁所管),出資による権利（独立行政法人　福祉医療機構・業務勘定）,東京都千代田区霞が関１−２−２,1028098478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028098478,0,-,-,-,-
厚生労働省,年金局,年金特別会計（業務勘定）,普通財産(各省各庁所管),出資による権利（日本年金機構・業務勘定）,東京都千代田区霞が関１−２−２,49419329336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49419329336,0,-,-,-,-
厚生労働省,労働基準局,労働保険特別会計（労災勘定）,普通財産(各省各庁所管),旧労災リハビリテーション長野作業所,長野県諏訪郡下諏訪町社字小田野７００１番　外１筆,142392664,13184.49,142392492,4027.04,5265.56,137,0,35,0,0,0,0,0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,50,80
