省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,不動産の信託受益権価格　（円）,地上権等数量,地上権等価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市中央区北１２条西１５丁目２９番６１外,190883224,4356.48,190813824,273.44,684.19,4,0,69396,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市中央区北１２条西１５丁目２９番６１外,19,0,0,537.52,821.09,4,0,15,0,0,0,-,-,-,-
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市西区二十四軒４条２丁目３５番,2122713,0,0,21.64,21.64,2021443,0,101270,0,0,0,-,-,-,-
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市西区二十四軒３条６丁目３番外,2792151,0,0,121.06,236.72,2792135,0,16,0,0,0,-,-,-,-
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市豊平区平岸２条１２丁目２３番、７０番,471448024,6624.32,305588845,1332.58,4793.24,164753244,45772,1060163,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市西区八軒１〜５条西３〜５丁目,2313961990,45410.78,1934499229,5521.43,24509.20,373002168,2904596,3555997,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市西区二十四軒４条２丁目３５番,213816751,2463.87,130092337,425.55,1606.94,80045042,73,3679299,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市西区二十四軒４条２丁目３６番,67358203,720.86,38061407,149.72,572.94,28160438,12,1136346,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市西区二十四軒３条６丁目９番,19080015,0,0,387.87,1691.40,19079996,0,19,0,0,0,-,-,-,-
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市西区二十四軒３条６丁目１番,129347384,1294.60,129347369,270.36,473.32,3,0,12,0,0,0,市街化区域,準住居地域,60,300
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市西区二十四軒３条６丁目９番,382795793,4148.58,363560808,348.19,1657.62,19234967,0,18,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局小樽出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道小樽市塩谷２丁目５７３番４、同番５,7962133,940.27,7962133,0,0,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,北海道財務局,函館財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道松前郡松前町字弁天３１９番３,1991206,2337.10,1975518,0,0,0,0,15688,0,0,0,都市計画区域外,-,-,-
財務省,北海道財務局,函館財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道松前郡松前町字弁天３１９番４,195064,227.66,192436,0,0,0,0,2628,0,0,0,都市計画区域外,-,-,-
財務省,東北財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,宮城県仙台市青葉区本町２−９−１２,144493594,719.06,144459154,0,0,0,0,34440,0,0,0,市街化区域,商業地域,80,500
財務省,東北財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,宮城県仙台市青葉区角五郎２丁目２３５番３,343461717,6202.29,342366408,0,0,0,1095304,5,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,東北財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,宮城県仙台市青葉区大手町２０７,310473703,3325.46,299291400,0,0,0,335664,10846639,0,0,0,市街化区域,第二種住居地域,60,200
財務省,東北財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,宮城県仙台市青葉区大手町２０６番,209360069,2215.87,199428300,0,0,0,38416,9893353,0,0,0,市街化区域,第二種住居地域,60,200
財務省,東北財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,宮城県仙台市太白区太子堂１−６,108795206,1709.77,108795206,0,0,0,0,0,0,0,0,市街化区域,工業地域,60,200
財務省,東北財務局,福島財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,福島県郡山市希望ヶ丘１１２番２,12636471,817.07,12382339,0,0,0,0,254132,0,0,0,市街化区域,第一種住居地域,60,200
財務省,東北財務局,福島財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,福島県福島市南沢又字古舘４５番２ほか,13300001,3373.02,13300000,0,0,0,1,0,0,0,0,市街化調整区域,-,70,400
財務省,東北財務局,青森財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,青森県八戸市築港街２−１６−３,10424260,627.17,10182733,0,0,0,0,241527,0,0,0,市街化区域,工業地域,60,200
財務省,東北財務局,青森財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,青森県西津軽郡鰺ケ沢町大字本町１１２−１,3731320,298.25,3731320,0,0,0,0,0,0,0,0,非線引,準工業地域,60,200
財務省,東北財務局,青森財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,青森県青森市大字筒井字八ツ橋２２６−５１,14479983,444.99,10252569,120.12,120.12,4094851,0,132563,0,0,0,市街化区域,第一種低層住居専用地域,60,150
財務省,東北財務局,山形財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,山形県村山市中央１−１０８５−２０,16892977,1231.17,16891652,0,0,0,0,1325,0,0,0,非線引,準工業地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都墨田区立花１丁目１−１９,146915541,0,134520607,529.32,529.32,12394920,0,14,0,0,0,市街化区域,第一種住居地域,60,300
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都葛飾区立石８−３４９−１,288311177,1002.35,234784449,337.69,1021.12,42690135,3216000,7620593,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都港区元麻布２−３２２−１のうち,1767443391,1758.44,1750249187,276.78,276.78,6278655,10501465,414084,0,0,0,市街化区域,第一種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都世田谷区代沢５−１１１６−３,262807714,542.43,262601211,137.32,164.73,2,0,206501,0,0,0,市街化区域,第一種低層住居専用地域,50,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都中野区東中野１—７５—１２,216155956,524.62,209585690,206.41,764.41,6385234,0,185032,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都杉並区下井草１−９２４−４,158493440,468.4,154244120,199.38,393.24,4204058,22651,22611,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都世田谷区下馬２−２５９−２１５,604368511,1334.09,592778877,285.38,1232.18,11135778,51539,402317,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都練馬区上石神井３丁目７９−９１,467942316,1986.25,449297695,372.96,1491.84,15204089,1119822,2320710,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都北区赤羽台３丁目７０２番１,243216845,923.62,223151210,304.36,1291.20,17433012,0,2632623,0,0,0,市街化区域,第一種中高層住居専用地域,60,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都中野区上高田５丁目５−２,695226606,3181.36,648997440,663.31,3967.98,44892661,704709,631796,0,0,0,市街化区域,第一種低層住居専用地域,60,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都大田区西糀谷１−１２９８−１外３筆,999384731,2983.29,968677246,770.02,1540.04,29118550,21320,1567615,0,0,0,市街化区域,近隣商業地域 外,80,300
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都大田区上池台４−１７０,301372555,781.52,289449999,286.83,860.49,9732208,2006400,183948,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都中野区江古田４−１７３２−３,354618989,1528.39,311791559,482.37,1432.96,38930889,0,3896541,0,0,0,市街化区域,第一種低層住居専用地域,60,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都足立区中央本町２−５０−２９,347548450,1535.85,327389465,421.46,1380.50,19697427,0,461558,0,0,0,市街化区域,近隣商業地域,80,300
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都北区滝野川３−５３−１３,222779495,846.74,214978818,189.05,505.45,7523509,0,277168,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都新宿区中井２−１７２６−６,59936392,253.78,54209545,111.69,218.61,5690885,3391,32571,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都杉並区高井戸東３−１８９１−５,881901410,3841.44,829751040,784.39,5214.84,51564345,315297,270728,0,0,0,市街化区域,第二種住居地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都世田谷区下馬２丁目３２２−１,234809918,810.98,228958314,156.6,519.92,5851594,0,10,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都世田谷区岡本２−４３９−８,844968283,3617.75,824697310,850.89,2245.00,19400084,247633,623256,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都杉並区高円寺南５丁目７７７−１,1195085694,2586.30,1165182462,709.96,2739.44,27676208,1679971,547053,0,0,0,市街化区域,近隣商業地域,80,400
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都練馬区大泉学園町７丁目５８７番４,307285501,1439.03,288757843,278.54,822.5,17573644,89191,864823,0,0,0,市街化区域,第一種住居地域,60,300
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都世田谷区下馬２−２５９−１６４,553498478,1231.40,538662384,230.94,844.3,14638635,44509,152950,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都世田谷区弦巻３−９−２,971121307,2151.39,945408972,712.48,2038.55,25136351,541665,34319,0,0,0,市街化区域,第一種低層住居専用地域,60,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都世田谷区上用賀４丁目８１番１,1076737637,2773.42,1063129541,519.84,1455.84,12379299,0,1228797,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都世田谷区上馬５−６−２３,162461193,432.29,154545300,179.5,471.1,7338573,196422,380898,0,0,0,市街化区域,第一種低層住居専用地域,60,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都杉並区下井草１丁目９３２番１０,84182931,275.33,74889760,155.2,293.4,9038866,0,254305,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都杉並区高井戸東４−１９０４−２９,640236253,1973.15,618842980,385.84,922.9,20109002,1691,1282580,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都世田谷区野毛１−４０−１,7435550543,28638.36,7216560509,4774.08,14468.74,215893132,29139,3067763,0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都立川市富士見町２−１０４−１のうち,14838430412,86475.94,14838430412,729.78,729.78,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,-,-
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都立川市曙町３−１２１−１０,38166466,176.7,38166465,0,0,0,0,1,0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都東久留米市上の原２−３４１−１外１筆,448427079,4661.47,407422582,771.81,2564.51,39505893,476794,1021810,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都東久留米市上の原２−４１２−１,543411695,6192.81,538774470,863.94,3294.72,3345915,0,1291310,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都立川市泉町１１１１−５のうち外,3431088992,35741.20,3431088992,0,0,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,-,-
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都清瀬市梅園１−６１７−６,137480316,895.92,130276623,243.61,665.79,6804408,0,399285,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都立川市高松町２−１７６−２,645891249,2256.29,604081034,1042.95,2556.56,37917175,0,3893040,0,0,0,市街化区域,近隣商業地域,80,300
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都立川市錦町４−１２−１,195187230,755.74,185005152,185.28,354.64,9900255,132611,149212,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都武蔵野市西久保３−３３１−１９,103278092,278.16,103199028,79.3,222.04,2,0,79062,0,0,0,市街化区域,準工業地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都武蔵野市境南町５−１４６９−１２,191300828,668.02,178656102,138.2,414.6,11759724,415454,469548,0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都武蔵村山市学園２−３６−１,1843340882,24678.20,1628761200,3292.90,15014.20,187488967,2643011,24447704,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都昭島市東町２−１１９−２７,182438026,1162.43,176345280,311.13,459.13,5909865,0,182881,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,病院敷地,東京都立川市錦町４−１２−６外３筆のうち,1244461200,7826.80,1244461200,0,0,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都昭島市中神町字東新畑１２５７番２２,800101920,7995.20,743553600,1319.33,4675.01,52153119,7622,4387579,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都東村山市萩山町３−２９−３４,761616593,5660.56,729284977,427.25,1626.05,12951435,14271496,5108685,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都東村山市富士見町１丁目２番４６,1091985865,10947.46,985271400,1904.18,5617.56,99355745,1782286,5576434,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都三鷹市新川６丁目６４１番１,2054017338,13452.01,1977445470,2009.64,5942.56,66161240,1686558,8724070,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都国分寺市西町１−３２−１外６筆 ,927169206,7609.28,844630081,1598.40,6564.80,81186048,776228,576849,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都三鷹市井口１−１２４−１,673688154,2742.42,634812639,753.24,2045.12,34633374,3478848,763293,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都国分寺市東戸倉２−１８−３外１筆,48925119,237.93,48918938,65.14,127.06,2,0,6179,0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,東京都東久留米市上の原２丁目３７１番２のうち,1082291132,12395.44,1078403280,693.94,2775.80,3887833,0,19,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,オープンスペース,神奈川県横浜市中区山下町２７９番２４,22735874,229.38,20503897,59.2,59.2,2231966,0,11,0,0,0,市街化区域,商業地域,80,400
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県川崎市高津区蟹ヶ谷字西田原２１６,785070038,7974.81,741657331,1651.48,8121.14,35803634,0,7609073,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市南区中村町４−２７４−１０,247050881,1525.32,233421244,233.28,846.64,13383545,163782,82310,0,0,0,市街化区域,近隣商業地域,80,300
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県大和市南林間６−３５７７−１,716410683,9139.43,715156121,0,0,0,0,1254562,0,0,0,市街化区域,第一種低層住居専用地域,50,80
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市港南区野庭町字三田町４８１−３　外２筆,285268469,1854.53,251926773,389.35,967.46,32764042,0,577654,0,0,0,市街化区域,第一種低層住居専用地域,50,80
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市金沢区六浦４−３９１５　外１筆,107755825,724,98500200,265.68,719.28,9255614,0,11,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県川崎市高津区蟹ヶ谷字西田原２２０−１,346711092,3492.96,324845279,677.89,2935.03,20155106,1060762,649945,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市中区山手町４−１７,163345975,625.94,162243648,96.42,96.42,2,961177,141148,0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市栄区笠間３−３７５外９筆,351691849,2983.94,304361881,884.95,3636.21,46706018,500634,123316,0,0,0,市街化区域,第二種住居地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市港北区菊名５−５３８−１外７筆,266733173,1268.61,245444319,363.32,986.27,19869844,78444,1340566,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市金沢区泥亀２−８８,345769812,2024.62,312757223,586.34,2717.54,32859071,0,153518,0,0,0,市街化区域,近隣商業地域,80,300
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市南区三春台２９番２　外１筆,365706599,2401.83,346075435,548.61,1760.14,18322011,1454,1307699,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市神奈川区子安台１−４８−２,541592314,2670.10,512050417,700.58,2183.81,28757860,0,784037,0,0,0,市街化区域,準住居地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市西区伊勢町三丁目１３３番４　外１筆,290528593,1701.15,277877924,198.27,641.31,9089209,146776,3414684,0,0,0,市街化区域,第二種中高層住居専用地域,60,150
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市戸塚区汲沢町字細田１０５２番　外３筆,233760273,2849.34,204976848,621.59,2498.49,28141765,0,641660,0,0,0,市街化調整区域,都市計画用途地域指定なし,50,80
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県川崎市中原区木月４−１９０３　外１筆,366005174,1503.96,357972559,492.84,1759.49,7931940,0,100675,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市西区紅葉ケ丘７番,224981705,972.07,205301184,374.96,1789.07,19497623,0,182898,0,0,0,市街化区域,近隣商業地域,80,300
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市戸塚区吉田町字?ノ谷１１６３番３,138689118,1099.65,132984312,208.52,1011.49,4857126,0,847680,0,0,0,市街化区域,第一種中高層住居専用地域,60,150
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市神奈川区六角橋四丁目７２０番４,295947659,1558.70,264902623,357.4,1096.17,30904328,0,140708,0,0,0,市街化区域,第二種中高層住居専用地域,60,150
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市南区山谷１１５番５　外３筆,682890316,6886.39,661093440,842.07,2782.35,21078308,170198,548370,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市金沢区平潟町２０６番１,281480913,1820.94,253105197,502.16,1466.16,26158616,144654,2072446,0,0,0,市街化区域,準住居地域,60,200
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市戸塚区平戸三丁目１９６１番１,543522667,5178.98,481645140,856.56,3904.90,59229800,733244,1914483,0,0,0,市街化区域,第一種低層住居専用地域,50,80
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市戸塚区原宿４−８０−１外１筆,191585415,1903.80,177354200,334.87,960.07,13498966,540453,191796,0,0,0,市街化区域,第一種中高層住居専用地域,60,150
財務省,関東財務局,横浜財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,神奈川県横浜市港南区日野南４丁目５７９１−９外３筆,954542635,10415.80,862096590,1625.04,6959.06,88807155,402723,3236167,0,0,0,市街化区域,第一種中高層住居専用地域,60,150
