省庁名,部局名,部局所名,会計名,分類種類,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,都市計画区域,用途地域,建ぺい率,容積率,処理方法
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区真駒内本町５丁目１７番５　外１筆,391603080,11866.76,391603080,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区簾舞２条２丁目３番８,795366,334.75,795366,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区二十四軒４条２丁目２６番２,35151375,408.12,35151375,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区八軒１条西４丁目９５番３４　外１６筆,809015321,18990.97,809015321,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区山の手２条１２丁目５番,37514922,760.15,37514922,市街化区域,近隣商業地域,80,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区山の手６条１丁目１３番　外３筆,96897784,1199.23,96897784,市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区琴似３条７丁目６５６番１７,6239840,269.21,6239840,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区発寒３条６丁目４１４番２５　外１筆,181123344,4192.67,181123344,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区発寒６条１３丁目７１５番１０,57288108,1646.21,57288108,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区発寒６条１３丁目７１５番９　外１筆,215076831,4940.32,215076831,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区西野１条９丁目４５０番１　外１筆,172156656,5123.71,172156656,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区西野３条４丁目１６４番１６　外２筆,67095255,1120.63,67095255,市街化区域,近隣商業地域,80,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区西野３条４丁目１６４番２４,30050350,546.37,30050350,市街化区域,近隣商業地域,80,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市西区西野４条３丁目２０４番１０、同番７１,2574064,116.73,2574064,市街化区域,近隣商業地域,80,200,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市上新川町２８番１,62992024,2051.72,62992024,市街化区域,第二種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市中島町１３０番２、同番１４,40547501,1347.53,40547501,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市中島町２０２番,55731947,1622.15,55731947,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市乃木町６番３、同番２１、同番２２,131182422,5084.59,131182422,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市亀田本町１０１番１５,2904198,171.38,2904198,市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市亀田本町１０１番１７,2934531,173.17,2934531,市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市宮前町８番１１,2876186,173.17,2876186,市街化区域,準工業地域,60,200,当分の間入札実施が困難
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市戸倉町２２４番４、２２５番２、同番１３、同番１７、同番１８、同番１９、同番２０、同番２１、同番２２、同番２４、同番１０２、同番１０３、同番１０４,119563704,7664.34,119563704,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市新浜町１４５番２１,1540941,304.66,1540941,都市計画区域外,都市計画用途地域指定なし,-,-,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市日吉町１丁目５番８６外２３筆,160504236,8629.26,160504236,市街化区域,第一種低層住居専用地域,50,100,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市昭和２丁目１８８番１７、同番１８、同番２１,53467729,2841.61,53467729,市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市桔梗４丁目３６５番１２、同番３３５,11289166,897.39,11289166,市街化区域,第一種低層住居専用地域,50,100,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市梁川町１１番２５、同番２６,27346900,781.34,27346900,市街化区域,第二種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市榎本町８１番２６、同番２７,89605992,5333.69,89605992,市街化区域,第一種低層住居専用地域,50,100,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市深堀町１８２番８５,7693780,207.94,7693780,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市深堀町１８２番９２,8488078,211.62,8488078,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市湯川町１丁目１１番３、同番６、同番７、同番２４、同番５３、同番５４、同番５５,64819204,1950.52,64819204,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市湯川町２丁目１２番１０,29900215,771.3,29900215,市街化区域,商業地域,80,500,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市船見町３番１２,22407165,918.59,22407165,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市船見町７番１４,15506050,632.9,15506050,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市花園町２７番１５,68801248,1950.50,68801248,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市金堀町４８番１５、同番１６、同番１７、同番１８,27200768,988.4,27200768,市街化区域,第二種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市釜谷町１００番３、４１３番４,1317002,249.56,1317002,都市計画区域外,都市計画用途地域指定なし,-,-,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市青柳町３番６２,17821485,720.06,17821485,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市高丘町１１０番４、同番５,10857840,517.04,10857840,市街化区域,第一種低層住居専用地域,50,100,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市オタモイ３丁目４番８８、５０番１,13913646,1048.82,13913646,市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市入船５丁目１０番１３,1488883,258.61,1488883,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市塩谷２丁目５７３番３,21943,176.09,21943,市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市塩谷３丁目１２番１３、同番１５、１８番１８,3787765,880.05,3787765,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市奥沢３丁目８２番４８,1304247,152.03,1304247,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市奥沢３丁目８２番５２,2457252,227.16,2457252,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市幸３丁目２４番３,11167578,1104.45,11167578,市街化区域,第一種低層住居専用地域,40,60,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市幸３丁目５番１、同番１０、同番１１,4379268,1085.32,4379268,市街化区域,第一種低層住居専用地域,40,60,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市新光２丁目２２番１,52646244,3316.09,52646244,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市有幌町４１１番１,2384646,541.24,2384646,市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市桜１丁目８５番,11689266,837.4,11689266,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市桜２丁目３００番３５,27946699,1980.35,27946699,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市桜２丁目３８５番１、同番２,3796431,617.75,3796431,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市桜２丁目６２６番１、６２７番１、同番２、同番３、同番４、６２８番２、同番３、同番４,92401470,4601.39,92401470,市街化区域,第一種中高層住居専用地域,60,200,地方公共団体等へ売払
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市桜３丁目５３０番５、同番７、５８４番,23742247,2237.42,23742247,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市港町３５番１,6415369,399.68,6415369,市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市港町８番、１４６番５,20691720,899.64,20691720,市街化区域,準工業地域,60,300,地方公共団体等において利用
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市潮見台１丁目５番１,9557680,1054.92,9557680,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市真栄２丁目２２番７、同番５９,2073283,318.95,2073283,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市石山町５０番１３,1659858,262.04,1659858,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市石山町６７番３、同番１３,1359774,397.53,1359774,市街化区域,第二種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市稲穂５丁目３５番１２,3805560,172.98,3805560,市街化区域,近隣商業地域,80,300,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市稲穂５丁目４９番１１,26204509,2975.37,26204509,市街化区域,第一種中高層住居専用地域,60,200,地方公共団体等へ売払
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市緑１丁目１番２８、同番１５５,1150995,266.24,1150995,市街化区域,第二種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市緑１丁目１１番３１、同番８８,500420,76.39,500420,市街化区域,近隣商業地域,80,200,当分の間入札実施が困難
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市若竹町１２７番２、同番４、同番１７、同番２１、同番２３、同番２６、１６６番１４、同番１５、同番１６,18139401,2337.07,18139401,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市若竹町５番８、同番１０、同番１１,7186648,1392.21,7186648,市街化区域,第一種中高層住居専用地域,60,200,当分の間入札実施が困難
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市赤岩１丁目１３９番１３、同番１８、１５１番１,6808477,793.55,6808477,市街化区域,第一種低層住居専用地域,60,100,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市長橋２丁目３９番１,82068861,17436.25,82068861,市街化区域,第一種中高層住居専用地域,60,200,当分の間入札実施が困難
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市長橋２丁目４９番４２,4521172,466.94,4521172,市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市長橋４丁目２５番５２,137354,15.19,137354,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市長橋４丁目２５番６、同番４２,18839693,2083.47,18839693,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市大町２条１２丁目６６番３外１０筆,70475248,5932.26,70475248,市街化区域,第二種中高層住居専用地域,60,200,地方公共団体等へ売払
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市忠和８条３丁目６６番９０６、同番９０８,2933783,276.42,2933783,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市春光台２条４丁目１１番５,3171345,378.21,3171345,市街化区域,第一種低層住居専用地域,40,60,一般競争入札（売残）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市春光４条３丁目２４２番８２,92473800,6701.00,92473800,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市春光５条４丁目２３２番１６,24505655,1399.43,24505655,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市東鷹栖５線１４号２４９９番１,25707227,55250.19,25707227,市街化調整区域,都市計画用途地域指定なし,60,200,一般競争入札（売残）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市東６条８丁目２番３、３番４,2503626,254.53,2503626,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市花咲町３丁目４０６７番６、同番８,94538786,9362.13,94538786,市街化区域,第二種住居地域,60,200,当分の間入札実施が困難
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市６条西２丁目１４８５番２６７,13166088,473.43,13166088,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市みゆき町１丁目２４２番２,28446471,3578.39,28446471,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市みゆき町２丁目２４５番８５,1212143,165.93,1212143,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市八丁平５丁目４６番１　外３筆,30682769,4743.78,30682769,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市八丁平５丁目５２番１,23490223,3631.76,23490223,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市山手町２丁目９６番７、同番６１、９９番７,28537026,4340.47,28537026,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市幌萌町４５３番３,1068655,229.38,1068655,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市東町５丁目２４番４,24899518,2172.74,24899518,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市東町５丁目２５番３、同番２１,18903122,1711.97,18903122,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市東町５丁目５番１　外１筆,11869322,728.85,11869322,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市母恋南町３丁目４９番４９、同番５０、同番５５、同番５６、同番５７、同番５８,10681872,3669.99,10681872,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市母恋南町３丁目５０番１８、同番２４、同番２５、同番２８,12092360,3186.67,12092360,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市母恋南町４丁目３２番１３５,7912477,1685.72,7912477,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市海岸町１丁目２８番６,7400085,719.3,7400085,市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市清水町２丁目１番,10014259,827.83,10014259,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市清水町２丁目２１番９　外１筆,6542427,1006.93,6542427,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市清水町２丁目２６番　外２筆,7691686,1183.81,7691686,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市絵鞆町２丁目３１番４　外３筆,20621442,2284.97,20621442,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市絵鞆町３丁目２番１６　外３筆,4811350,743.87,4811350,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市西小路町９８番２,657151,118.93,657151,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市千歳町１５番２、２６番２、２６番３,13326651,1139.03,13326651,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市宮本２丁目２０番２３,11878740,1666.49,11878740,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市宮本２丁目２０番４,26629810,2302.82,26629810,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市春採１丁目１３１番１９、１３１番２１、１３１番７０、１３１番７３,9173349,2198.23,9173349,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市春採１丁目１３１番６、１３１番３４、１３１番４８,12039161,1405.43,12039161,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市暁町１０番２２,51998689,2648.67,51998689,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市武佐１丁目２４８番４２、２４８番１４８,26203497,2002.56,26203497,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市武佐２丁目５９番２、５９番３,18742718,1697.71,18742718,市街化区域,第一種低層住居専用地域,50,80,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市武佐３丁目３９番３３６,35077824,4871.92,35077824,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市治水町１１番２,10082646,753.73,10082646,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市白樺台３丁目１２番７,1713612,402.54,1713612,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市白樺台５丁目１３番１、１３番７、１３番８,3633273,995.17,3633273,市街化区域,第一種低層住居専用地域,50,80,一般競争入札（売残）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市知人町１４１番３、１６１番,854018,344.98,854018,市街化区域,工業専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市知人町１４１番６,10309950,2061.99,10309950,市街化区域,工業専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市米町３丁目１３番５２,32359284,5992.46,32359284,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市美原４丁目６番７,22444134,1291.81,22444134,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市興津２丁目１０３番７４５,1803495,206.06,1803495,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,北海道釧路市駒場町１３番２,40486944,3587.36,40486944,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,帯広財務事務所,一般会計,普通財産,北海道帯広市東１４条南５丁目３番１６,12574977,857.19,12574977,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,帯広財務事務所,一般会計,普通財産,北海道帯広市西１０条南１５丁目１４番１,18519831,750.52,18519831,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,帯広財務事務所,一般会計,普通財産,北海道帯広市西１６条南２７丁目１番１、同番２、同番３、同番４、同番５,28346709,1641.22,28346709,市街化区域,第二種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,帯広財務事務所,一般会計,普通財産,北海道帯広市西４条南６丁目１番１０,19304703,649.99,19304703,市街化区域,商業地域,80,400,当分の間入札実施が困難
財務省,北海道財務局,北見出張所,一般会計,普通財産,北海道北見市中央三輪９丁目４番９,13665750,911.05,13665750,市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,北見出張所,一般会計,普通財産,北海道北見市中央町２２番,12111741,541.67,12111741,市街化区域,近隣商業地域,80,300,一般競争入札（未実施）
財務省,北海道財務局,北見出張所,一般会計,普通財産,北海道北見市北斗町３丁目６５番５,20410243,1206.65,20410243,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,北見出張所,一般会計,普通財産,北海道北見市春光町７丁目６２番１３,23846669,3379.63,23846669,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,北見出張所,一般会計,普通財産,北海道北見市朝日町４８番１６、同番１８６、同番５７１、同番５７２、同番５８５、６８番１５、同番１６、同番１７,71821859,6785.89,71821859,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,北見出張所,一般会計,普通財産,北海道北見市田端町３８番２５、７４番６、同番７,17478603,1437.52,17478603,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,北見出張所,一般会計,普通財産,北海道北見市留辺蘂町栄町７７番１,12051622,3806.91,12051622,市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,北海道財務局,北見出張所,一般会計,普通財産,北海道北見市留辺蘂町栄町８６番２９、８７番２,6205709,1312.95,6205709,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,北見出張所,一般会計,普通財産,北海道北見市高砂町７番７４、同番８６,37623218,2305.50,37623218,市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,北見出張所,一般会計,普通財産,北海道北見市高砂町７番７５、同番７９、同番８５,28660092,2155.39,28660092,非線引,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道夕張市南部東町８４番　外１筆,235672,379.31,235672,非線引,第一種住居地域,60,200,一般競争入札（未実施）
